estimator,mean,max,min
extraction_data,8.278568955435269,39.33699178695679,1.3737170696258545
AdaBoost_DT,0.06678614927374793,0.694983720779419,0.0150291919708251
Bagging_DT,0.017081115556799788,0.032912254333496,0.0111715793609619
Bernoulli_NB,0.0014229010844575812,0.0156221389770507,0.0
Complement_NB,0.0007911488629769326,0.0156221389770507,0.0
DT,0.0012748949769614154,0.0156319141387939,0.0
ET,0.08274817466735834,0.1718378067016601,0.0312330722808837
Gaussian_NB,0.0007718404134114296,0.0156745910644531,0.0
GradientBoost,0.001270641451296563,0.015622854232788,0.0
HistGradientBoost,0.01011038863140599,0.0242955684661865,0.0
kNN,0.00901068984598349,0.0217854976654052,0.0
logistic_regression,0.001254914463430179,0.0156226158142089,0.0
Multinomial_NB,0.0018529010855632886,0.0156230926513671,0.0
neural_networks,0.1129997951396997,0.6688711643218994,0.0312426090240478
RF,0.01699000856150746,0.033909797668457,0.0
"Stacking (AB, RF, ET, B, HGB, GB, DT, XGB)",0.20662594878155252,0.3869640827178955,0.0468635559082031
"Stacking (AB, RF, ET, B, XGB)",0.22594782062198804,0.3490664958953857,0.0937278270721435
Stacking (All),0.41207817844722583,0.5214715003967285,0.1887352466583252
"Stacking (ANN, LR, GB, HGB, XGB, AB)",0.23735546201899432,0.342271089553833,0.0777926445007324
"Stacking (GNB, BNB, CNB, MNB)",0.003423141396563955,0.0171418190002441,0.0
"Stacking (kNN, SVM, ANN)",0.09688633939494253,0.2124204635620117,0.0558516979217529
"Stacking (kNN, SVM, ANN, DT, GNB, LR)",0.09913902179054589,0.2030761241912841,0.0408949851989746
"Stacking (LR, GNB, BNB, CNB, MNB)",0.0037675456724304683,0.0156605243682861,0.0
SVM,0.0008134306340977478,0.0155842304229736,0.0
XGB,0.01071739369544425,0.019479751586914,0.0
