feature,max,min,mean
кол-во внутренне добавляемых внутренних CSS,,,
кол-во внутренне добавляемых внешних CSS,,,
кол-во внутренне добавляемых встроенных CSS,,,
кол-во внутренне добавляемых внутренних скриптов,,,
кол-во внутренне добавляемых внешних скриптов,,,
кол-во внутренне добавляемых встроенных скриптов,,,
кол-во внутренне добавляемых внешних изображений,,,
кол-во внутренне добавляемых внутренних изображений,,,
перенаправления внутренне добавляемых внутренних ссылок,,,
перенаправления внутренне добавляемых внешних ссылок,,,
ошибки внутренне добавляемых внутренних ссылок,,,
ошибки внутренне добавляемых внешних ссылок,,,
внутренне добавляемая форма входа,,,
внутренне добавляемые внешние Favicon,,,
внутренне добавляемые внутренних Favicon,,,
внутренне добавляемые письма на почту,,,
внутренне добавляемые внешние медиа,,,
внутренне добавляемые внутренние медиа,,,
внутренне добавляемый пустой титульник,,,
внутренне добавляемые небезопасные якори,,,
внутренне добавляемые безопасные якори,,,
внутренне добавляемые внутренние ресурсы,,,
внутренне добавляемые внешние ресурсы,,,
внутренне добавляемые невидимые iframe,,,
внутренне добавляемые onmouseover,,,
внутренне добавляемые всплывающие окна,0.9999,0.0001,0.015079025169796244
внутренне добавляемые события правой кнопки мыши,0.9999,0.0001,0.0012184338793447861
домен во внутренне добавляемом тексте,,,
домен во внутренне добавляемом титульнике,,,
домен с внутренне добавляемыми авторскими правами,0.9999,0.0001,0.0005793288054334798
ввод/вывод во внутренне добавляемом коде,0.9999,0.0001,0.006677148724978547
фишинговые слова во внутренне добавляемом,,,
внутренне добавляемый объем текста,,,
объем внешне добавляемого текста,,,
кол-во внешне добавляемого кода,,,
внешне добавляемый ввод/вывод,,,
кол-во внешне добавляемых ссылок,,,
кол-во внешне добавляемых внутренних ссылок,,,
кол-во внешне добавляемых внешних ссылок,,,
кол-во внешне добавляемых пустых ссылок,,,
кол-во внешне добавляемых внутренних CSS,,,
кол-во внешне добавляемых внешних CSS,,,
кол-во внешне добавляемых встроенных CSS,,,
кол-во внешне добавляемых внутренних скриптов,,,
кол-во внешне добавляемых внешних скриптов,,,
кол-во внешне добавляемых встроенных скриптов,,,
кол-во внешне добавляемых внешних изображений,,,
кол-во внешне добавляемых внутренних изображений,,,
перенаправления внешне добавляемых внутренних ссылок,,,
перенаправления внешне добавляемых внешних ссылок,,,
ошибки внешне добавляемых внутренних ссылок,,,
ошибки внешне добавляемых внешних ссылок,,,
внешне добавляемая форма входа,,,
внешне добавляемые внешние Favicon,,,
внешне добавляемые внутренних Favicon,,,
внешне добавляемые письма на почту,,,
внешне добавляемые внешние медиа,,,
внешне добавляемые внутренние медиа,,,
внешне добавляемый пустой титульник,,,
внешне добавляемые небезопасные якори,,,
внешне добавляемые безопасные якори,,,
внешне добавляемые внутренние ресурсы,,,
внешне добавляемые внешние ресурсы,,,
внешне добавляемые невидимые iframe,,,
внешне добавляемые onmouseover,,,
внешне добавляемые всплывающие окна,0.9999,0.0001,0.0035351897722732725
внешне добавляемые события правой кнопки мыши,0.9999,0.0001,0.0002997203355972833
домен во внешне добавляемом тексте,,,
домен во внешне добавляемом титульнике,,,
домен с внешне добавляемыми авторскими правами,,,
ввод/вывод во внешне добавляемом коде,0.9999,0.0001,0.0065433124723152354
фишинговые слова во внешне добавляемом,,,
внешне добавляемый объем текста,,,
срок регистрации домена,0.9999,0.0001,0.00028749601748988637
домен зарегистрирован,0.9999,0.0001,0.7311563164202958
рейтинг по Alexa,0.9999,0.0001,0.0810405899036291
рейтинг по openpagerank,0.9999,0.0001,0.34780367747502994
времени действия сертификата,0.9999,0.0001,0.3659427529266389
срок действия сертификата,0.9999,0.0001,0.2804008820833182
кол-во альтернативных имен,0.9999,0.0001,0.005626987038439445
