feature,max,min,mean
перенаправления внутренне добавляемых внутренних ссылок,,,
перенаправления внутренне добавляемых внешних ссылок,,,
ошибки внутренне добавляемых внутренних ссылок,,,
ошибки внутренне добавляемых внешних ссылок,,,
внутренне добавляемая форма входа,,,
внутренне добавляемые внешние Favicon,,,
внутренне добавляемые внутренних Favicon,,,
внутренне добавляемые письма на почту,,,
внутренне добавляемые внешние медиа,,,
внутренне добавляемые внутренние медиа,,,
внутренне добавляемый пустой титульник,,,
внутренне добавляемые небезопасные якори,,,
внутренне добавляемые безопасные якори,,,
внутренне добавляемые внутренние ресурсы,,,
внутренне добавляемые внешние ресурсы,,,
внутренне добавляемые невидимые iframe,,,
внутренне добавляемые onmouseover,,,
внутренне добавляемые всплывающие окна,,,
внутренне добавляемые события правой кнопки мыши,,,
домен во внутренне добавляемом тексте,,,
домен во внутренне добавляемом титульнике,,,
домен с внутренне добавляемыми авторскими правами,,,
ввод/вывод во внутренне добавляемом коде,0.19801457199840675,0.001,0.003054730650454595
фишинговые слова во внутренне добавляемом,,,
внутренне добавляемый объем текста,,,
объем внешне добавляемого текста,,,
кол-во внешне добавляемого кода,,,
внешне добавляемый ввод/вывод,,,
кол-во внешне добавляемых ссылок,,,
кол-во внешне добавляемых внутренних ссылок,,,
кол-во внешне добавляемых внешних ссылок,,,
кол-во внешне добавляемых пустых ссылок,,,
кол-во внешне добавляемых внутренних CSS,,,
кол-во внешне добавляемых внешних CSS,,,
кол-во внешне добавляемых встроенных CSS,,,
кол-во внешне добавляемых внутренних скриптов,,,
кол-во внешне добавляемых внешних скриптов,,,
кол-во внешне добавляемых встроенных скриптов,,,
кол-во внешне добавляемых внешних изображений,,,
кол-во внешне добавляемых внутренних изображений,,,
перенаправления внешне добавляемых внутренних ссылок,,,
перенаправления внешне добавляемых внешних ссылок,,,
ошибки внешне добавляемых внутренних ссылок,,,
ошибки внешне добавляемых внешних ссылок,,,
внешне добавляемая форма входа,,,
внешне добавляемые внешние Favicon,,,
внешне добавляемые внутренних Favicon,,,
внешне добавляемые письма на почту,,,
внешне добавляемые внешние медиа,,,
внешне добавляемые внутренние медиа,,,
внешне добавляемый пустой титульник,,,
внешне добавляемые небезопасные якори,,,
внешне добавляемые безопасные якори,,,
внешне добавляемые внутренние ресурсы,,,
внешне добавляемые внешние ресурсы,,,
внешне добавляемые невидимые iframe,,,
внешне добавляемые onmouseover,,,
внешне добавляемые всплывающие окна,,,
внешне добавляемые события правой кнопки мыши,,,
домен во внешне добавляемом тексте,,,
